
江西IPTV6,#genre#
哒啵赛事,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225653/index.m3u8
CCTV-5,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225751/index.m3u8
武搏世界,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225656/index.m3u8
江苏卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225743/index.m3u8
河南卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225722/index.m3u8
精品纪录,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225710/index.m3u8
CCTV-7,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225644/index.m3u8
安徽卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225737/index.m3u8
农业致富,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225670/index.m3u8
深圳卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225700/index.m3u8
湖南卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225745/index.m3u8
浙江卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225744/index.m3u8
黑龙江卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225736/index.m3u8
电视剧,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225712/index.m3u8
电视剧2,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225716/index.m3u8
哈哈炫动576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225720/index.m3u8
CCTV-5,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225752/index.m3u8
辽宁卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225735/index.m3u8
云南卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225664/index.m3u8
潮妈辣婆,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225708/index.m3u8
黑莓动画,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225672/index.m3u8
CNC英文,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225693/index.m3u8
吉林卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225680/index.m3u8
卡酷少儿576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225677/index.m3u8
CETV1-575,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225661/index.m3u8
北京卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225673/index.m3u8
CCTV-5,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225753/index.m3u8
超级体育,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225648/index.m3u8
CCTV-17,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225908/index.m3u8
CETV1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225917/index.m3u8
CCTV-17,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225909/index.m3u8
CETV4-576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225937/index.m3u8
中华美食576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225924/index.m3u8
